# SYNTHETIC DATA - fictional training records, not clinical evidence.
event_id,hcp_id,asset_id,therapeutic_area,invited,attended,completed,pre_score,post_score,note
oncology-mm:ENG-001,oncology-mm:HCP-101,oncology-mm:ASSET-01,oncology-mm,1,0,0,,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-019,oncology-mm:HCP-125,oncology-mm:ASSET-07,oncology-mm,1,0,0,58,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-020,oncology-mm:HCP-127,oncology-mm:ASSET-08,oncology-mm,1,1,1,59,69,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-021,oncology-mm:HCP-129,oncology-mm:ASSET-09,oncology-mm,1,1,0,40,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-022,oncology-mm:HCP-130,oncology-mm:ASSET-10,oncology-mm,1,0,0,,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-023,oncology-mm:HCP-131,oncology-mm:ASSET-11,oncology-mm,1,1,1,42,72,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-024,oncology-mm:HCP-132,oncology-mm:ASSET-12,oncology-mm,1,1,1,43,73,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-025,oncology-mm:HCP-133,oncology-mm:ASSET-01,oncology-mm,1,0,0,44,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-026,oncology-mm:HCP-134,oncology-mm:ASSET-02,oncology-mm,1,1,1,45,50,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-027,oncology-mm:HCP-135,oncology-mm:ASSET-03,oncology-mm,1,1,1,46,51,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-028,oncology-mm:HCP-136,oncology-mm:ASSET-04,oncology-mm,1,0,0,47,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-029,oncology-mm:HCP-137,oncology-mm:ASSET-05,oncology-mm,1,1,0,,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-030,oncology-mm:HCP-138,oncology-mm:ASSET-06,oncology-mm,1,1,1,49,54,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-031,oncology-mm:HCP-139,oncology-mm:ASSET-07,oncology-mm,1,0,0,50,,Paired scores only where both observed; no causal impact claim
oncology-mm:ENG-032,oncology-mm:HCP-140,oncology-mm:ASSET-08,oncology-mm,1,1,1,51,56,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-001,immunology-ad:HCP-101,immunology-ad:ASSET-01,immunology-ad,1,0,0,,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-002,immunology-ad:HCP-103,immunology-ad:ASSET-02,immunology-ad,1,1,1,41,51,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-003,immunology-ad:HCP-104,immunology-ad:ASSET-03,immunology-ad,1,1,1,42,52,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-004,immunology-ad:HCP-109,immunology-ad:ASSET-04,immunology-ad,1,0,0,43,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-005,immunology-ad:HCP-110,immunology-ad:ASSET-05,immunology-ad,1,1,0,44,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-006,immunology-ad:HCP-111,immunology-ad:ASSET-06,immunology-ad,1,1,1,45,55,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-007,immunology-ad:HCP-113,immunology-ad:ASSET-07,immunology-ad,1,0,0,46,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-008,immunology-ad:HCP-114,immunology-ad:ASSET-08,immunology-ad,1,1,1,,57,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-009,immunology-ad:HCP-115,immunology-ad:ASSET-09,immunology-ad,1,1,0,48,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-010,immunology-ad:HCP-116,immunology-ad:ASSET-10,immunology-ad,1,0,0,49,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-011,immunology-ad:HCP-117,immunology-ad:ASSET-11,immunology-ad,1,1,1,50,60,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-012,immunology-ad:HCP-118,immunology-ad:ASSET-12,immunology-ad,1,1,1,51,61,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-013,immunology-ad:HCP-120,immunology-ad:ASSET-01,immunology-ad,1,0,0,52,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-014,immunology-ad:HCP-121,immunology-ad:ASSET-02,immunology-ad,1,1,1,53,63,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-015,immunology-ad:HCP-123,immunology-ad:ASSET-03,immunology-ad,1,1,1,,64,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-016,immunology-ad:HCP-125,immunology-ad:ASSET-04,immunology-ad,1,0,0,55,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-017,immunology-ad:HCP-126,immunology-ad:ASSET-05,immunology-ad,1,1,0,56,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-018,immunology-ad:HCP-129,immunology-ad:ASSET-06,immunology-ad,1,1,1,57,67,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-019,immunology-ad:HCP-130,immunology-ad:ASSET-07,immunology-ad,1,0,0,58,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-020,immunology-ad:HCP-131,immunology-ad:ASSET-08,immunology-ad,1,1,1,59,69,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-021,immunology-ad:HCP-132,immunology-ad:ASSET-09,immunology-ad,1,1,0,40,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-022,immunology-ad:HCP-133,immunology-ad:ASSET-10,immunology-ad,1,0,0,,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-023,immunology-ad:HCP-134,immunology-ad:ASSET-11,immunology-ad,1,1,1,42,72,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-024,immunology-ad:HCP-135,immunology-ad:ASSET-12,immunology-ad,1,1,1,43,73,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-025,immunology-ad:HCP-136,immunology-ad:ASSET-01,immunology-ad,1,0,0,44,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-026,immunology-ad:HCP-137,immunology-ad:ASSET-02,immunology-ad,1,1,1,45,50,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-027,immunology-ad:HCP-138,immunology-ad:ASSET-03,immunology-ad,1,1,1,46,51,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-028,immunology-ad:HCP-139,immunology-ad:ASSET-04,immunology-ad,1,0,0,47,,Paired scores only where both observed; no causal impact claim
immunology-ad:ENG-029,immunology-ad:HCP-140,immunology-ad:ASSET-05,immunology-ad,1,1,0,,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-001,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity:ASSET-01,cardiometabolic-obesity,1,0,0,,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-002,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity:ASSET-02,cardiometabolic-obesity,1,1,1,41,51,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-003,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity:ASSET-03,cardiometabolic-obesity,1,1,1,42,52,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-004,cardiometabolic-obesity:HCP-106,cardiometabolic-obesity:ASSET-04,cardiometabolic-obesity,1,0,0,43,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-005,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity:ASSET-05,cardiometabolic-obesity,1,1,0,44,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-006,cardiometabolic-obesity:HCP-109,cardiometabolic-obesity:ASSET-06,cardiometabolic-obesity,1,1,1,45,55,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-007,cardiometabolic-obesity:HCP-111,cardiometabolic-obesity:ASSET-07,cardiometabolic-obesity,1,0,0,46,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-008,cardiometabolic-obesity:HCP-112,cardiometabolic-obesity:ASSET-08,cardiometabolic-obesity,1,1,1,,57,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-009,cardiometabolic-obesity:HCP-113,cardiometabolic-obesity:ASSET-09,cardiometabolic-obesity,1,1,0,48,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-010,cardiometabolic-obesity:HCP-114,cardiometabolic-obesity:ASSET-10,cardiometabolic-obesity,1,0,0,49,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-011,cardiometabolic-obesity:HCP-115,cardiometabolic-obesity:ASSET-11,cardiometabolic-obesity,1,1,1,50,60,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-012,cardiometabolic-obesity:HCP-118,cardiometabolic-obesity:ASSET-12,cardiometabolic-obesity,1,1,1,51,61,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-013,cardiometabolic-obesity:HCP-119,cardiometabolic-obesity:ASSET-01,cardiometabolic-obesity,1,0,0,52,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-014,cardiometabolic-obesity:HCP-120,cardiometabolic-obesity:ASSET-02,cardiometabolic-obesity,1,1,1,53,63,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-015,cardiometabolic-obesity:HCP-121,cardiometabolic-obesity:ASSET-03,cardiometabolic-obesity,1,1,1,,64,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-016,cardiometabolic-obesity:HCP-122,cardiometabolic-obesity:ASSET-04,cardiometabolic-obesity,1,0,0,55,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-017,cardiometabolic-obesity:HCP-124,cardiometabolic-obesity:ASSET-05,cardiometabolic-obesity,1,1,0,56,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-018,cardiometabolic-obesity:HCP-125,cardiometabolic-obesity:ASSET-06,cardiometabolic-obesity,1,1,1,57,67,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-019,cardiometabolic-obesity:HCP-127,cardiometabolic-obesity:ASSET-07,cardiometabolic-obesity,1,0,0,58,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-020,cardiometabolic-obesity:HCP-128,cardiometabolic-obesity:ASSET-08,cardiometabolic-obesity,1,1,1,59,69,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-021,cardiometabolic-obesity:HCP-129,cardiometabolic-obesity:ASSET-09,cardiometabolic-obesity,1,1,0,40,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-022,cardiometabolic-obesity:HCP-130,cardiometabolic-obesity:ASSET-10,cardiometabolic-obesity,1,0,0,,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-023,cardiometabolic-obesity:HCP-133,cardiometabolic-obesity:ASSET-11,cardiometabolic-obesity,1,1,1,42,72,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-024,cardiometabolic-obesity:HCP-134,cardiometabolic-obesity:ASSET-12,cardiometabolic-obesity,1,1,1,43,73,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-025,cardiometabolic-obesity:HCP-135,cardiometabolic-obesity:ASSET-01,cardiometabolic-obesity,1,0,0,44,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-026,cardiometabolic-obesity:HCP-137,cardiometabolic-obesity:ASSET-02,cardiometabolic-obesity,1,1,1,45,50,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-027,cardiometabolic-obesity:HCP-138,cardiometabolic-obesity:ASSET-03,cardiometabolic-obesity,1,1,1,46,51,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-028,cardiometabolic-obesity:HCP-139,cardiometabolic-obesity:ASSET-04,cardiometabolic-obesity,1,0,0,47,,Paired scores only where both observed; no causal impact claim
cardiometabolic-obesity:ENG-029,cardiometabolic-obesity:HCP-140,cardiometabolic-obesity:ASSET-05,cardiometabolic-obesity,1,1,0,,,Paired scores only where both observed; no causal impact claim
