# SYNTHETIC DATA - fictional training records, not clinical evidence.
access_id,hcp_id,therapeutic_area,route,status,institution_rule,contact_detail,last_checked,note
oncology-mm:ACCESS-019,oncology-mm:HCP-125,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-020,oncology-mm:HCP-127,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-021,oncology-mm:HCP-129,oncology-mm,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-022,oncology-mm:HCP-130,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-023,oncology-mm:HCP-131,oncology-mm,existing scientific relationship,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-024,oncology-mm:HCP-132,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-025,oncology-mm:HCP-133,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-026,oncology-mm:HCP-134,oncology-mm,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-027,oncology-mm:HCP-135,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-028,oncology-mm:HCP-136,oncology-mm,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-029,oncology-mm:HCP-137,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-030,oncology-mm:HCP-138,oncology-mm,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-031,oncology-mm:HCP-139,oncology-mm,institution medical office,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
oncology-mm:ACCESS-032,oncology-mm:HCP-140,oncology-mm,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-001,immunology-ad:HCP-101,immunology-ad,institution medical office,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-002,immunology-ad:HCP-103,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-003,immunology-ad:HCP-104,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-004,immunology-ad:HCP-109,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-005,immunology-ad:HCP-110,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-006,immunology-ad:HCP-111,immunology-ad,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-007,immunology-ad:HCP-113,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-008,immunology-ad:HCP-114,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-009,immunology-ad:HCP-115,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-010,immunology-ad:HCP-116,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-011,immunology-ad:HCP-117,immunology-ad,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-012,immunology-ad:HCP-118,immunology-ad,public professional enquiry route,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-013,immunology-ad:HCP-120,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-014,immunology-ad:HCP-121,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-015,immunology-ad:HCP-123,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-016,immunology-ad:HCP-125,immunology-ad,institution medical office,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-017,immunology-ad:HCP-126,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-018,immunology-ad:HCP-129,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-019,immunology-ad:HCP-130,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-020,immunology-ad:HCP-131,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-021,immunology-ad:HCP-132,immunology-ad,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-022,immunology-ad:HCP-133,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-023,immunology-ad:HCP-134,immunology-ad,existing scientific relationship,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-024,immunology-ad:HCP-135,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-025,immunology-ad:HCP-136,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-026,immunology-ad:HCP-137,immunology-ad,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-027,immunology-ad:HCP-138,immunology-ad,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-028,immunology-ad:HCP-139,immunology-ad,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
immunology-ad:ACCESS-029,immunology-ad:HCP-140,immunology-ad,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-001,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity,institution medical office,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-002,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-003,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-004,cardiometabolic-obesity:HCP-106,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-005,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-006,cardiometabolic-obesity:HCP-109,cardiometabolic-obesity,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-007,cardiometabolic-obesity:HCP-111,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-008,cardiometabolic-obesity:HCP-112,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-009,cardiometabolic-obesity:HCP-113,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-010,cardiometabolic-obesity:HCP-114,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-011,cardiometabolic-obesity:HCP-115,cardiometabolic-obesity,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-012,cardiometabolic-obesity:HCP-118,cardiometabolic-obesity,public professional enquiry route,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-013,cardiometabolic-obesity:HCP-119,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-014,cardiometabolic-obesity:HCP-120,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-015,cardiometabolic-obesity:HCP-121,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-016,cardiometabolic-obesity:HCP-122,cardiometabolic-obesity,institution medical office,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-017,cardiometabolic-obesity:HCP-124,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-018,cardiometabolic-obesity:HCP-125,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-019,cardiometabolic-obesity:HCP-127,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-020,cardiometabolic-obesity:HCP-128,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-021,cardiometabolic-obesity:HCP-129,cardiometabolic-obesity,public professional enquiry route,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-022,cardiometabolic-obesity:HCP-130,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-023,cardiometabolic-obesity:HCP-133,cardiometabolic-obesity,existing scientific relationship,declined,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-024,cardiometabolic-obesity:HCP-134,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-025,cardiometabolic-obesity:HCP-135,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-026,cardiometabolic-obesity:HCP-137,cardiometabolic-obesity,existing scientific relationship,unverified,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-027,cardiometabolic-obesity:HCP-138,cardiometabolic-obesity,public professional enquiry route,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-028,cardiometabolic-obesity:HCP-139,cardiometabolic-obesity,institution medical office,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
cardiometabolic-obesity:ACCESS-029,cardiometabolic-obesity:HCP-140,cardiometabolic-obesity,existing scientific relationship,review institution procedure,Appointment required; do not assume unrestricted access,,2026-09-25,"Fictional access scenario; no real address, relationship or introduction is asserted"
