# SYNTHETIC DATA - fictional training records, not clinical evidence.
asset_id,therapeutic_area,topic,audience,format,version,review_status,review_due,jurisdiction,language,source_file
immunology-ad:ASSET-12,immunology-ad,care access,patient organization,brief,1.0,expired,2026-09-01,US,en,workshop/data/immunology-ad/product-profile.md
cardiometabolic-obesity:ASSET-01,cardiometabolic-obesity,long-term evidence,HCP,video script,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-02,cardiometabolic-obesity,safety education,HCP,FAQ,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-03,cardiometabolic-obesity,care access,patient organization,slide deck,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-04,cardiometabolic-obesity,long-term evidence,HCP,brief,1.0,expired,2026-09-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-05,cardiometabolic-obesity,safety education,HCP,video script,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-06,cardiometabolic-obesity,care access,patient organization,FAQ,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-07,cardiometabolic-obesity,long-term evidence,HCP,slide deck,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-08,cardiometabolic-obesity,safety education,HCP,brief,1.0,expired,2026-09-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-09,cardiometabolic-obesity,care access,patient organization,video script,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-10,cardiometabolic-obesity,long-term evidence,HCP,FAQ,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-11,cardiometabolic-obesity,safety education,HCP,slide deck,1.0,draft,2026-11-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
cardiometabolic-obesity:ASSET-12,cardiometabolic-obesity,care access,patient organization,brief,1.0,expired,2026-09-01,US,en,workshop/data/cardiometabolic-obesity/product-profile.md
