# SYNTHETIC DATA - fictional training records, not clinical evidence.
source_id,path,sha256,source_kind,license,note
SYN:oncology-mm:README,workshop/data/oncology-mm/README.md,a561070d693120fc7fbbd3b074146ed580e42f52e3ffa3db61de5080e599f200,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:integrated-evidence-plan,workshop/data/oncology-mm/integrated-evidence-plan.csv,1b5cce3d48a5666f11e571235f7002ec6a755c5b2c186d6e32bf5782c4ab2c94,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:interaction-notes,workshop/data/oncology-mm/interaction-notes.md,eb707eb6142c7c753e0fdedb31522edb5e535415b3b3c9808c200bd7dacafd76,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:kol-dossiers,workshop/data/oncology-mm/kol-dossiers.md,88e20669d19a4029c0f4fa5ca7a2ef5f621622684d3daa7dcecf9c26991343e8,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:launch-readiness-register,workshop/data/oncology-mm/launch-readiness-register.md,8e81433817c18bef63222a6f932864ef41b20672f35a431b56520e9687b635c8,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:manuscript-draft,workshop/data/oncology-mm/manuscript-draft.md,e7cf34625797d77de9f3c39804b0e33483e3b24208aa8089bf1460a11ed8c783,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:medical-education-needs,workshop/data/oncology-mm/medical-education-needs.md,0a201085b60d8f6fd13767e5dc475f0533c12e24886ce5582067c17f6aa7dd63,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:medical-impact-metrics,workshop/data/oncology-mm/medical-impact-metrics.csv,531778ec2db1ef654263b3f381f3afcb8b738a5744d656a1a8b13f9aa6b88822,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:medical-information-enquiries,workshop/data/oncology-mm/medical-information-enquiries.csv,a61dab96e96dc152e90d4319ddddfccbe243a0a1319e26196f5a01854239aca8,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:medical-plan,workshop/data/oncology-mm/medical-plan.md,57952f8d9f73ea433f27819edb3b4597ae1b7ac436bf8aa7a864ea2de4b36392,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:mlr-review-comments,workshop/data/oncology-mm/mlr-review-comments.md,ab1a8798d3af7785a0acc50233f836fb0d9a97550cc760d83824067a53e5ba67,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:patient-level-analysis,workshop/data/oncology-mm/patient-level-analysis.csv,ea08abf8f743abd59fafc7d0e8fb8ca4f9969da4fda76d64d25379b5f7a729c8,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:payer-hta-brief,workshop/data/oncology-mm/payer-hta-brief.md,c459a6670f234c1cde8156a09fdcf8b332d067b653bc82ffa5bea56cb22e80c3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:plain-language-source,workshop/data/oncology-mm/plain-language-source.md,25ad9ba0f0c481357a10e2b13a4cf3f4948a14bc38e82af9782ad41bf3485406,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:product-profile,workshop/data/oncology-mm/product-profile.md,996c6ab022126c6f05960c6e44e5af0d78032d38bdfaa9f79ce3c0e511b964cf,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:promotional-claims-review,workshop/data/oncology-mm/promotional-claims-review.md,7b91263345265c953b2c32d6b3a8ece57dada299d14f8f5f71f6671f41e8e219,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:publication-plan,workshop/data/oncology-mm/publication-plan.md,bbfaf22805388680326e3ff1e15e13c2746230ce251ed8b2bf2eaf96b1e9eee7,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:rwe-study-concept,workshop/data/oncology-mm/rwe-study-concept.md,d63a9ac02f96312f4824bbafcc16870fbb8ff8dd4ecfba1d50461c7195e73930,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:safety-case-series,workshop/data/oncology-mm/safety-case-series.md,9949d926d8bba063ad5e8389c20ee35c00d7af50ad898c1e64b2e81f40704e3d,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:scientific-platform-draft,workshop/data/oncology-mm/scientific-platform-draft.md,28f58a9982032ab66fe2dc30f62d504b28151ed53ed94c6958c6156a2cda4e44,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:structured-evidence-table,workshop/data/oncology-mm/structured-evidence-table.csv,291b184500f5f5ad67759c1efa93a3e53f084e66d6e2b1160d2004dc5dfc4646,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:oncology-mm:terminology-coding-queue,workshop/data/oncology-mm/terminology-coding-queue.csv,3abaa983b69cd217ff34ae289627cf4788d0f8d326cd799fb9631eb2066d4403,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:README,workshop/data/immunology-ad/README.md,ecb625991d00c4caa32098ed3d212c2f1d33b1735ba4f0f2eccd80216b76d160,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:abstract-poster-brief,workshop/data/immunology-ad/abstract-poster-brief.md,a29f9bc0cdac752c200e0289b3e0310cf39dfcd53a7be595dc87d935a124c207,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:advisory-board-transcript,workshop/data/immunology-ad/advisory-board-transcript.md,116b90b89bcd7692d984a77f307a0ed61819e943c07f179748ef64e4a2a97ffd,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:competitor-announcements,workshop/data/immunology-ad/competitor-announcements.md,07f9a4b68f0227c2d2354fe168509e0e8635a5ccb2db3360f5ff79eac0c36cd2,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:congress-abstracts,workshop/data/immunology-ad/congress-abstracts.md,589c97d908f695618ec026e8f39a4689426d084165795bdb5be016c0f178d176,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:document-ingestion-challenge,workshop/data/immunology-ad/document-ingestion-challenge.md,00cb50a7c0f5020481c6922972004b73afab8fc5ee53b3c13a639fd0f7af60dc,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:evidence-landscape,workshop/data/immunology-ad/evidence-landscape.md,4e3a6a4737a871e0a874a6ea1f319147fa1c0ec2e8979592f50a42ea6bd94256,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:field-account-plan,workshop/data/immunology-ad/field-account-plan.csv,3c111a14b91b250b6e7bc048ebe037074b6d9696704b02e9ab2562a533efb6d3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:field-observations,workshop/data/immunology-ad/field-observations.csv,e94bad8b5045344a52eec402d985bc02a9150dbf4e056ef2492c641b97d780e4,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:guideline-landscape,workshop/data/immunology-ad/guideline-landscape.md,ade2195f361b540d079ab64c3f20155643f3c4a69560f7d78b25923c264318a2,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:iis-proposal,workshop/data/immunology-ad/iis-proposal.md,c8a39ab7fcf20a5b0c9694175b7060faaea106f18fd74bfa57cd3bc0cc0bd12d,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:integrated-evidence-plan,workshop/data/immunology-ad/integrated-evidence-plan.csv,bea8a9eb0962bb8cf51dfbe4261df9ea3574d59562b52281b423a5eae86aba46,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:interaction-notes,workshop/data/immunology-ad/interaction-notes.md,2db7ccabe8f3eae5e9804848d920a112e293ecfc65a456bc5fc56d295673fedd,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:kol-dossiers,workshop/data/immunology-ad/kol-dossiers.md,2fa146d4bbed151d656c6b7bc50bbdd85b176d9a61103058627a62f74dd4d7d2,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:launch-readiness-register,workshop/data/immunology-ad/launch-readiness-register.md,2a9112fb0b0e89c505d726bb62cfe9b4ece5c302cac6bdf62326a2633013b730,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:manuscript-draft,workshop/data/immunology-ad/manuscript-draft.md,e8524a427bc5be58afa736fc0ceb61ba4e9c24ebe4d93b2b7694a04906de74d4,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:medical-education-needs,workshop/data/immunology-ad/medical-education-needs.md,870ea2b9582e0e5b9a74f4c28f5e218ffa070b32bd627124216ba7504861ffb5,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:medical-impact-metrics,workshop/data/immunology-ad/medical-impact-metrics.csv,531778ec2db1ef654263b3f381f3afcb8b738a5744d656a1a8b13f9aa6b88822,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:medical-information-enquiries,workshop/data/immunology-ad/medical-information-enquiries.csv,01e63f99b50420b40a8ee1753e763bf521eca5868cd20298a9f83ffff1ebe2b7,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:medical-plan,workshop/data/immunology-ad/medical-plan.md,f0b26cc9a99bb63d69691d6cdaf3a80de7db8cff0ef0d55f727d8cd9aa8cf093,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:mlr-review-comments,workshop/data/immunology-ad/mlr-review-comments.md,c401bc54f5c4b717ff58a4798ba4f9949d37bd5b27cb7006ec82143c773b0337,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:patient-level-analysis,workshop/data/immunology-ad/patient-level-analysis.csv,f1bdfc0094a03d44ec6316aec3e1f6ef3380f3a298a242460ee7e6eaa4589650,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:payer-hta-brief,workshop/data/immunology-ad/payer-hta-brief.md,2332be4b4bc4db28143f890fe341fdcc83c114b5d785c6bee4f8722a34b65925,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:plain-language-source,workshop/data/immunology-ad/plain-language-source.md,c63c842ada18bdeebd75d1c2218793be35d129067997fb7438be9a5e0745e0d3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:product-profile,workshop/data/immunology-ad/product-profile.md,ce197a73fe8cf574d797d2eda0b180c73a9f74902aa9cb72779d878766ebea0f,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:promotional-claims-review,workshop/data/immunology-ad/promotional-claims-review.md,6a5fe0e9fa28b41886c60c7734976050d3da540622ae66a2fa0f50cd09c81f30,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:publication-plan,workshop/data/immunology-ad/publication-plan.md,81b7a787aab89f03c5a49063c2160e74bc56740a3f6f395d728141097f466651,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:rwe-study-concept,workshop/data/immunology-ad/rwe-study-concept.md,4ef0292249a9191b43f433e15a4cd952b44ad816d983c9c03bb3d2f295793a31,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:safety-case-series,workshop/data/immunology-ad/safety-case-series.md,4e7aabd7ef44dd63ae8c154dfb5cd73b21d9274329ffc7a6461630251fbe2d0d,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:scientific-platform-draft,workshop/data/immunology-ad/scientific-platform-draft.md,3301f2810cead0d5185cae4a208234df3583d58a3619ede061ddfa04b325ae01,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:structured-evidence-table,workshop/data/immunology-ad/structured-evidence-table.csv,696f01ba44824365d9902ed44694a24cd6adeda04fdef7d95191027f1020ae0e,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:immunology-ad:terminology-coding-queue,workshop/data/immunology-ad/terminology-coding-queue.csv,3abaa983b69cd217ff34ae289627cf4788d0f8d326cd799fb9631eb2066d4403,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:README,workshop/data/cardiometabolic-obesity/README.md,95d8b59a6045eb8bab30e211d66d9cc860196c539c05436a2cad693f68b08315,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:abstract-poster-brief,workshop/data/cardiometabolic-obesity/abstract-poster-brief.md,101488b5162d89bf49138cb6678359cb1d46c2f4334cb632ed4fab5c4a75d38c,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:advisory-board-transcript,workshop/data/cardiometabolic-obesity/advisory-board-transcript.md,30e6e8ed60a2aa911c55ef988ee883ace21a066906423a92e79d675f93aa3360,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:competitor-announcements,workshop/data/cardiometabolic-obesity/competitor-announcements.md,5d73b29fc1f3ee6337b588a83a8c3e933bb267c602babe49c4f2eb7883575632,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:congress-abstracts,workshop/data/cardiometabolic-obesity/congress-abstracts.md,b1902606e1bd6bdb347d0ed84e6cfa8be9cfbd810e5155b4f5e4874fd4b5f3e6,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:document-ingestion-challenge,workshop/data/cardiometabolic-obesity/document-ingestion-challenge.md,83b67a48131a781b8f5e7750c3e7f922201b8c934964081303171c8cafbee9b7,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:evidence-landscape,workshop/data/cardiometabolic-obesity/evidence-landscape.md,b5a3ac7ef1b0b4f134e0280b970e47c43043953f4cfcb0b46e22c31925e49fed,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:field-account-plan,workshop/data/cardiometabolic-obesity/field-account-plan.csv,3c111a14b91b250b6e7bc048ebe037074b6d9696704b02e9ab2562a533efb6d3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:field-observations,workshop/data/cardiometabolic-obesity/field-observations.csv,8d1133eaa1e5d8a5afee783ec64f182e5519574c792407b98f3ddd00855e3995,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:guideline-landscape,workshop/data/cardiometabolic-obesity/guideline-landscape.md,bf72130fed28c110f73903c949faadba347b8045cdfb066fa7ed50a67130d3af,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:iis-proposal,workshop/data/cardiometabolic-obesity/iis-proposal.md,b1ba246865eef174c8b75572b9a7eace91473ec5f4479bd83fb25cf20301394a,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:integrated-evidence-plan,workshop/data/cardiometabolic-obesity/integrated-evidence-plan.csv,4da56e0eb1cb99951338304130c3b18da1e0478b6d72c16083fadbf62e3ff6ea,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:interaction-notes,workshop/data/cardiometabolic-obesity/interaction-notes.md,33e9129e0a6532414b6e415c3789b4fd7cd29b8193552f0fa8cc5db7543ac3f6,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:kol-dossiers,workshop/data/cardiometabolic-obesity/kol-dossiers.md,0397539a3ba84fd065abad6ba618e39567062a456f9aac07edf8cb1f205d8990,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:launch-readiness-register,workshop/data/cardiometabolic-obesity/launch-readiness-register.md,5d7eb110b9b7734334975fab34cb95325972c06a6d545035dd22321354465b12,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:manuscript-draft,workshop/data/cardiometabolic-obesity/manuscript-draft.md,0a21a51975cd602213f4bb98f15f011adc91f69d7264f55df48bcf95d22123a3,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:medical-education-needs,workshop/data/cardiometabolic-obesity/medical-education-needs.md,8f461dd639e7f4e8a02eacf24f00a56e14331738554c9721e46dd879a1578499,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:medical-impact-metrics,workshop/data/cardiometabolic-obesity/medical-impact-metrics.csv,531778ec2db1ef654263b3f381f3afcb8b738a5744d656a1a8b13f9aa6b88822,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:medical-information-enquiries,workshop/data/cardiometabolic-obesity/medical-information-enquiries.csv,2dca871808e5a32122e6b537be3bfa15c262f7bc04c5276de197a2f2336aa72c,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:medical-plan,workshop/data/cardiometabolic-obesity/medical-plan.md,abeb4562ad66172cf9d0a76f4dbf2d75a6412bd8f4e1a0cdfd33114a47e1292d,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:mlr-review-comments,workshop/data/cardiometabolic-obesity/mlr-review-comments.md,f592144a4128766c0934a64091cf1fd869772ce80c12ee6cc62c733037cf6274,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:patient-level-analysis,workshop/data/cardiometabolic-obesity/patient-level-analysis.csv,2db5a11179efe32e6d0f30817aeb841fd23fa1099881f36f0a8e112d09b32230,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:payer-hta-brief,workshop/data/cardiometabolic-obesity/payer-hta-brief.md,4ec0e701a1daf940f0059519769ae41509f3f92074f3e2c9580558eed6cc914f,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:plain-language-source,workshop/data/cardiometabolic-obesity/plain-language-source.md,c68cfd0259a803123ddc08a0ae89bddb41078d20fcb4fe39154a850b9c509adb,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:product-profile,workshop/data/cardiometabolic-obesity/product-profile.md,5ac87c91fcbbb9cd5be997b0bd2ff5f26da1b1019c0ccf928596501f426df234,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:promotional-claims-review,workshop/data/cardiometabolic-obesity/promotional-claims-review.md,31fd40082958f6fa3fab8edea961765b107d629819928fd63035516aed9271fb,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:publication-plan,workshop/data/cardiometabolic-obesity/publication-plan.md,a31e59d4156d39a52d50a464e8ec11345b5e1943ff51ddbd0e46ced960397bc4,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:rwe-study-concept,workshop/data/cardiometabolic-obesity/rwe-study-concept.md,6ff5ce942bd250b9cfdfde34fcc97d421788c130c802865465c0efb05f48e7ad,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:safety-case-series,workshop/data/cardiometabolic-obesity/safety-case-series.md,b2d0ec1e1c5ce420aaa89bc18f544ade052181d8b1bddfe2ed0c82a7b5a2fdea,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:scientific-platform-draft,workshop/data/cardiometabolic-obesity/scientific-platform-draft.md,9607c1c3871d36c5299cdf4015e879fe861011a199c126e446a7e020a4e0c2d2,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:structured-evidence-table,workshop/data/cardiometabolic-obesity/structured-evidence-table.csv,0e51863d57bd90d747160da077c71245796f8d281c5765eeec3370e0460fbab2,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
SYN:cardiometabolic-obesity:terminology-coding-queue,workshop/data/cardiometabolic-obesity/terminology-coding-queue.csv,3abaa983b69cd217ff34ae289627cf4788d0f8d326cd799fb9631eb2066d4403,synthetic,Apache-2.0,Fictional workshop source. Conflicts may be intentional; not a truth label.
