# SYNTHETIC DATA - fictional training records, not clinical evidence.
task_id,hcp_id,therapeutic_area,source_commitment_id,task_text,owner_role,due_date,status,note
oncology-mm:TASK-018-2,oncology-mm:HCP-124,oncology-mm,oncology-mm:SCENARIO-018-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-019-1,oncology-mm:HCP-125,oncology-mm,oncology-mm:SCENARIO-019-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-019-2,oncology-mm:HCP-125,oncology-mm,oncology-mm:SCENARIO-019-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-020-1,oncology-mm:HCP-127,oncology-mm,oncology-mm:SCENARIO-020-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-020-2,oncology-mm:HCP-127,oncology-mm,oncology-mm:SCENARIO-020-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-021-1,oncology-mm:HCP-129,oncology-mm,oncology-mm:SCENARIO-021-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-021-2,oncology-mm:HCP-129,oncology-mm,oncology-mm:SCENARIO-021-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-022-1,oncology-mm:HCP-130,oncology-mm,oncology-mm:SCENARIO-022-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-022-2,oncology-mm:HCP-130,oncology-mm,oncology-mm:SCENARIO-022-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-023-1,oncology-mm:HCP-131,oncology-mm,oncology-mm:SCENARIO-023-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-023-2,oncology-mm:HCP-131,oncology-mm,oncology-mm:SCENARIO-023-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-024-1,oncology-mm:HCP-132,oncology-mm,oncology-mm:SCENARIO-024-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-024-2,oncology-mm:HCP-132,oncology-mm,oncology-mm:SCENARIO-024-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-025-1,oncology-mm:HCP-133,oncology-mm,oncology-mm:SCENARIO-025-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-025-2,oncology-mm:HCP-133,oncology-mm,oncology-mm:SCENARIO-025-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-026-1,oncology-mm:HCP-134,oncology-mm,oncology-mm:SCENARIO-026-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-026-2,oncology-mm:HCP-134,oncology-mm,oncology-mm:SCENARIO-026-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-027-1,oncology-mm:HCP-135,oncology-mm,oncology-mm:SCENARIO-027-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-027-2,oncology-mm:HCP-135,oncology-mm,oncology-mm:SCENARIO-027-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-028-1,oncology-mm:HCP-136,oncology-mm,oncology-mm:SCENARIO-028-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-028-2,oncology-mm:HCP-136,oncology-mm,oncology-mm:SCENARIO-028-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-029-1,oncology-mm:HCP-137,oncology-mm,oncology-mm:SCENARIO-029-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-029-2,oncology-mm:HCP-137,oncology-mm,oncology-mm:SCENARIO-029-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-030-1,oncology-mm:HCP-138,oncology-mm,oncology-mm:SCENARIO-030-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-030-2,oncology-mm:HCP-138,oncology-mm,oncology-mm:SCENARIO-030-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-031-1,oncology-mm:HCP-139,oncology-mm,oncology-mm:SCENARIO-031-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-031-2,oncology-mm:HCP-139,oncology-mm,oncology-mm:SCENARIO-031-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-032-1,oncology-mm:HCP-140,oncology-mm,oncology-mm:SCENARIO-032-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
oncology-mm:TASK-032-2,oncology-mm:HCP-140,oncology-mm,oncology-mm:SCENARIO-032-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-001-1,immunology-ad:HCP-101,immunology-ad,immunology-ad:SCENARIO-001-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-001-2,immunology-ad:HCP-101,immunology-ad,immunology-ad:SCENARIO-001-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-002-1,immunology-ad:HCP-103,immunology-ad,immunology-ad:SCENARIO-002-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-002-2,immunology-ad:HCP-103,immunology-ad,immunology-ad:SCENARIO-002-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-003-1,immunology-ad:HCP-104,immunology-ad,immunology-ad:SCENARIO-003-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-003-2,immunology-ad:HCP-104,immunology-ad,immunology-ad:SCENARIO-003-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-004-1,immunology-ad:HCP-109,immunology-ad,immunology-ad:SCENARIO-004-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-004-2,immunology-ad:HCP-109,immunology-ad,immunology-ad:SCENARIO-004-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-005-1,immunology-ad:HCP-110,immunology-ad,immunology-ad:SCENARIO-005-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-005-2,immunology-ad:HCP-110,immunology-ad,immunology-ad:SCENARIO-005-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-006-1,immunology-ad:HCP-111,immunology-ad,immunology-ad:SCENARIO-006-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-006-2,immunology-ad:HCP-111,immunology-ad,immunology-ad:SCENARIO-006-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-007-1,immunology-ad:HCP-113,immunology-ad,immunology-ad:SCENARIO-007-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-007-2,immunology-ad:HCP-113,immunology-ad,immunology-ad:SCENARIO-007-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-008-1,immunology-ad:HCP-114,immunology-ad,immunology-ad:SCENARIO-008-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-008-2,immunology-ad:HCP-114,immunology-ad,immunology-ad:SCENARIO-008-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-009-1,immunology-ad:HCP-115,immunology-ad,immunology-ad:SCENARIO-009-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-009-2,immunology-ad:HCP-115,immunology-ad,immunology-ad:SCENARIO-009-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-010-1,immunology-ad:HCP-116,immunology-ad,immunology-ad:SCENARIO-010-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-010-2,immunology-ad:HCP-116,immunology-ad,immunology-ad:SCENARIO-010-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-011-1,immunology-ad:HCP-117,immunology-ad,immunology-ad:SCENARIO-011-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-011-2,immunology-ad:HCP-117,immunology-ad,immunology-ad:SCENARIO-011-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-012-1,immunology-ad:HCP-118,immunology-ad,immunology-ad:SCENARIO-012-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-012-2,immunology-ad:HCP-118,immunology-ad,immunology-ad:SCENARIO-012-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-013-1,immunology-ad:HCP-120,immunology-ad,immunology-ad:SCENARIO-013-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-013-2,immunology-ad:HCP-120,immunology-ad,immunology-ad:SCENARIO-013-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-014-1,immunology-ad:HCP-121,immunology-ad,immunology-ad:SCENARIO-014-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-014-2,immunology-ad:HCP-121,immunology-ad,immunology-ad:SCENARIO-014-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-015-1,immunology-ad:HCP-123,immunology-ad,immunology-ad:SCENARIO-015-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-015-2,immunology-ad:HCP-123,immunology-ad,immunology-ad:SCENARIO-015-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-016-1,immunology-ad:HCP-125,immunology-ad,immunology-ad:SCENARIO-016-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-016-2,immunology-ad:HCP-125,immunology-ad,immunology-ad:SCENARIO-016-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-017-1,immunology-ad:HCP-126,immunology-ad,immunology-ad:SCENARIO-017-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-017-2,immunology-ad:HCP-126,immunology-ad,immunology-ad:SCENARIO-017-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-018-1,immunology-ad:HCP-129,immunology-ad,immunology-ad:SCENARIO-018-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-018-2,immunology-ad:HCP-129,immunology-ad,immunology-ad:SCENARIO-018-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-019-1,immunology-ad:HCP-130,immunology-ad,immunology-ad:SCENARIO-019-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-019-2,immunology-ad:HCP-130,immunology-ad,immunology-ad:SCENARIO-019-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-020-1,immunology-ad:HCP-131,immunology-ad,immunology-ad:SCENARIO-020-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-020-2,immunology-ad:HCP-131,immunology-ad,immunology-ad:SCENARIO-020-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-021-1,immunology-ad:HCP-132,immunology-ad,immunology-ad:SCENARIO-021-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-021-2,immunology-ad:HCP-132,immunology-ad,immunology-ad:SCENARIO-021-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-022-1,immunology-ad:HCP-133,immunology-ad,immunology-ad:SCENARIO-022-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-022-2,immunology-ad:HCP-133,immunology-ad,immunology-ad:SCENARIO-022-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-023-1,immunology-ad:HCP-134,immunology-ad,immunology-ad:SCENARIO-023-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-023-2,immunology-ad:HCP-134,immunology-ad,immunology-ad:SCENARIO-023-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-024-1,immunology-ad:HCP-135,immunology-ad,immunology-ad:SCENARIO-024-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-024-2,immunology-ad:HCP-135,immunology-ad,immunology-ad:SCENARIO-024-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-025-1,immunology-ad:HCP-136,immunology-ad,immunology-ad:SCENARIO-025-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-025-2,immunology-ad:HCP-136,immunology-ad,immunology-ad:SCENARIO-025-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-026-1,immunology-ad:HCP-137,immunology-ad,immunology-ad:SCENARIO-026-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-026-2,immunology-ad:HCP-137,immunology-ad,immunology-ad:SCENARIO-026-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-027-1,immunology-ad:HCP-138,immunology-ad,immunology-ad:SCENARIO-027-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-027-2,immunology-ad:HCP-138,immunology-ad,immunology-ad:SCENARIO-027-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-028-1,immunology-ad:HCP-139,immunology-ad,immunology-ad:SCENARIO-028-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-028-2,immunology-ad:HCP-139,immunology-ad,immunology-ad:SCENARIO-028-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-029-1,immunology-ad:HCP-140,immunology-ad,immunology-ad:SCENARIO-029-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
immunology-ad:TASK-029-2,immunology-ad:HCP-140,immunology-ad,immunology-ad:SCENARIO-029-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-001-1,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-001-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-001-2,cardiometabolic-obesity:HCP-102,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-001-2,Check approved material availability,MSL,2026-10-05,completed,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-002-1,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-002-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-002-2,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-002-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-003-1,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-003-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-003-2,cardiometabolic-obesity:HCP-105,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-003-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-004-1,cardiometabolic-obesity:HCP-106,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-004-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-004-2,cardiometabolic-obesity:HCP-106,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-004-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-005-1,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-005-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-005-2,cardiometabolic-obesity:HCP-108,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-005-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-006-1,cardiometabolic-obesity:HCP-109,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-006-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-006-2,cardiometabolic-obesity:HCP-109,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-006-2,Check approved material availability,MSL,2026-10-05,open,Added fictional task register; not a commitment extracted from historical field notes
cardiometabolic-obesity:TASK-007-1,cardiometabolic-obesity:HCP-111,cardiometabolic-obesity,cardiometabolic-obesity:SCENARIO-007-1,Review evidence for the next scientific discussion,MSL,2026-09-30,open,Added fictional task register; not a commitment extracted from historical field notes
