# SYNTHETIC DATA - WORKSHOP USE ONLY. Fictional company, products, experts
# and institutions. Contains deliberately seeded adverse events, a product
# quality complaint and an off-label use. Not real data.
record_id,date,msl,contact_id,setting,country,channel,observation
OBS-017,2026-06-09,MSL-04,HCP-129,Community,US,Phone,"Says her patients regain rapidly and blame themselves, which is a harm in itself."
OBS-018,2026-06-18,MSL-07,HCP-125,Academic,US,Virtual,Reports one patient with severe dehydration requiring intravenous fluids after persistent vomiting.
OBS-019,2026-05-15,MSL-07,HCP-111,Academic,UK,Virtual,Thinks the discontinuation rate in the trial understates real-world discontinuation considerably.
OBS-020,2026-04-20,MSL-05,HCP-125,Academic,US,Face-to-face,Asked whether there is a maintenance dose strategy anyone has studied.
OBS-021,2026-06-17,MSL-04,HCP-115,Regional centre,UK,Face-to-face,Says insurance coverage is the single biggest determinant of who gets treated.
OBS-022,2026-05-06,MSL-03,HCP-105,Community,US,Phone,Notes that patients with binge eating disorder respond differently and nobody studies them.
OBS-023,2026-04-23,MSL-02,HCP-114,Regional centre,JP,Face-to-face,Reports a patient whose diabetes control improved so much they stopped their oral agents.
OBS-024,2026-04-21,MSL-03,HCP-135,Regional centre,IT,Face-to-face,Says the competitor's CV outcomes data is what cardiologists cite and we have nothing comparable.
OBS-025,2026-04-12,MSL-02,HCP-108,Community,FR,Phone,Asked whether muscle mass loss matters clinically or is a surrogate concern.
OBS-026,2026-06-04,MSL-02,HCP-105,Community,US,Virtual,Reports declining effect in one patient after eight months at a stable dose.
OBS-027,2026-06-17,MSL-07,HCP-111,Academic,UK,Face-to-face,Says the nausea is manageable but the anticipatory nausea before injection is not.
OBS-028,2026-04-25,MSL-01,HCP-127,Community,FR,Phone,"Notes that the trial excluded patients with significant psychiatric history, who are a large part of her clinic."
OBS-029,2026-06-22,MSL-07,HCP-124,Community,IT,Face-to-face,Asked whether we would support an investigator-initiated study on discontinuation strategies.
OBS-030,2026-06-28,MSL-02,HCP-120,Community,US,Virtual,"Reports that a patient took a double dose after confusing the pen strengths; monitored, no harm."
OBS-031,2026-06-26,MSL-07,HCP-105,Community,US,Congress,Says patients ask about facial appearance changes and there is nothing in the label about it.
OBS-032,2026-05-19,MSL-03,HCP-140,Academic,IT,Face-to-face,Thinks the field is heading toward combination with resistance training and nobody has trial data.
OBS-033,2026-06-20,MSL-05,HCP-103,Academic,US,Virtual,Reports a patient with a new gallstone requiring cholecystectomy at month five.
OBS-034,2026-06-18,MSL-04,HCP-137,Community,US,Virtual,Says primary care colleagues are prescribing without any structured support and outcomes are worse.
OBS-035,2026-04-19,MSL-01,HCP-108,Community,FR,Virtual,Asked what proportion of trial patients were still on treatment at 72 weeks.
OBS-036,2026-06-07,MSL-07,HCP-102,Community,UK,Phone,Notes that the competitor's oral formulation is preferred by needle-averse patients even at lower efficacy.
OBS-037,2026-04-24,MSL-06,HCP-119,Academic,US,Phone,Reports one patient who lost weight rapidly then developed severe fatigue and stopped.
OBS-038,2026-05-24,MSL-01,HCP-128,Academic,DE,Face-to-face,"Says the biggest question in her clinic is 'for how long', and there is no answer."
OBS-039,2026-05-10,MSL-01,HCP-139,Academic,JP,Congress,Asked whether the effect differs by ethnicity; said the trial population was not representative of her practice.
OBS-040,2026-06-22,MSL-02,HCP-129,Community,US,Face-to-face,Reports a patient with worsening gastroparesis symptoms who had pre-existing diabetes.
OBS-041,2026-04-06,MSL-07,HCP-128,Academic,DE,Face-to-face,Says the storage and travel requirements are a real barrier for shift workers.
OBS-042,2026-04-04,MSL-06,HCP-127,Community,FR,Face-to-face,Thinks the weight regain data should be in the label and is not.
OBS-043,2026-04-28,MSL-06,HCP-122,Academic,IT,Congress,Reports two patients who stopped because of cost when insurance changed.
OBS-044,2026-06-06,MSL-01,HCP-109,Regional centre,US,Phone,Asked whether there is any signal on bone density.
OBS-045,2026-06-24,MSL-04,HCP-120,Community,US,Phone,Says her service cannot scale to demand and the waiting list is over a year.
OBS-046,2026-04-10,MSL-03,HCP-103,Academic,US,Face-to-face,"Notes that patients who lose weight quickly seem to regain fastest, but she has no data."
OBS-047,2026-06-17,MSL-05,HCP-122,Academic,IT,Virtual,Reports a patient who developed severe constipation requiring hospital assessment.
OBS-048,2026-04-06,MSL-02,HCP-138,Academic,ES,Congress,Asked whether there is guidance on managing patients who plateau.
OBS-049,2026-04-21,MSL-02,HCP-130,Community,DE,Congress,Says the competitor field team have been more present in primary care than ours.
OBS-050,2026-05-25,MSL-01,HCP-108,Community,FR,Face-to-face,"Reports one patient using it for cosmetic weight loss at a BMI of 26, obtained privately."
OBS-051,2026-05-23,MSL-07,HCP-113,Academic,FR,Congress,"Thinks the real unmet need is maintenance, not induction of weight loss."
OBS-052,2026-05-19,MSL-03,HCP-102,Community,UK,Phone,Asked whether combination with an oral agent has been studied.
OBS-053,2026-06-01,MSL-02,HCP-120,Community,US,Face-to-face,Reports a patient whose HbA1c fell below the prediabetes threshold and asks whether treatment can stop.
OBS-054,2026-05-20,MSL-06,HCP-115,Regional centre,UK,Face-to-face,Says she cannot answer patient questions about long-term safety and it undermines the conversation.
